metric,model_A,model_B,mean_A,mean_B,delta,ci_low,ci_high,p_raw,p_BH,p_holm,sig_raw,sig_BH,sig_holm,other,d_xgb_minus_other
spec,DT,XGB (tuned),0.6594924504466674,0.6912145550284525,-0.031722104581785183,-0.08715850884923185,0.03003179154847568,0.294,0.35516778523489934,1,FALSE,FALSE,FALSE,DT,0.031722104581785183
spec,LGB (default),XGB (tuned),0.8841180632237828,0.6912145550284525,0.19290350819533028,0.16495460086706745,0.22170482661411156,0,0,0,TRUE,TRUE,TRUE,LGB (default),-0.19290350819533028
spec,LGB (tuned),XGB (tuned),0.8854582302141317,0.6912145550284525,0.19424367518567917,0.16652805274625482,0.22271335387109525,0,0,0,TRUE,TRUE,TRUE,LGB (tuned),-0.19424367518567917
spec,LR,XGB (tuned),0.6425359884870512,0.6912145550284525,-0.04867856654140136,-0.08333067644419298,-0.006610116250347227,0.034,0.04601503759398496,1,TRUE,TRUE,FALSE,LR,0.04867856654140136
spec,RF (default),XGB (tuned),0.9314267557789168,0.6912145550284525,0.24021220075046426,0.20226057063043562,0.2803050182012357,0,0,0,TRUE,TRUE,TRUE,RF (default),-0.24021220075046426
spec,RF (tuned),XGB (tuned),0.9168674033000004,0.6912145550284525,0.2256528482715479,0.19117788138328948,0.26116637345684734,0,0,0,TRUE,TRUE,TRUE,RF (tuned),-0.2256528482715479
spec,Transformer,XGB (tuned),0.531384722687577,0.6912145550284525,-0.15982983234087556,-0.2178555387414131,-0.10163469387078329,0,0,0,TRUE,TRUE,TRUE,Transformer,0.15982983234087556
spec,XGB (default),XGB (tuned),0.8138069409247455,0.6912145550284525,0.12259238589629294,0.10247781639552642,0.14361869335715916,0,0,0,TRUE,TRUE,TRUE,XGB (default),-0.12259238589629294
bal_acc,Attention (default),XGB (tuned),0.609466027473371,0.6428511335204001,-0.03338510604702924,-0.05046047475610108,-0.014735107862406265,0,0,0,TRUE,TRUE,TRUE,Attention (default),0.03338510604702924
bal_acc,DT,XGB (tuned),0.6157896373458372,0.6428511335204001,-0.02706149617456293,-0.04690522886712727,-0.006446889097052695,0.006,0.008852459016393444,0.36,TRUE,TRUE,FALSE,DT,0.02706149617456293
bal_acc,LGB (default),XGB (tuned),0.5896914990090194,0.6428511335204001,-0.05315963451138082,-0.07506092975413918,-0.032845274698442666,0,0,0,TRUE,TRUE,TRUE,LGB (default),0.05315963451138082
bal_acc,LGB (tuned),XGB (tuned),0.5924022125008912,0.6428511335204001,-0.05044892101950897,-0.07196243646624091,-0.02976981706651309,0,0,0,TRUE,TRUE,TRUE,LGB (tuned),0.05044892101950897
bal_acc,LR,XGB (tuned),0.6338292854408476,0.6428511335204001,-0.009021848079552574,-0.02953099446375688,0.011252032577957165,0.372,0.4348051948051948,1,FALSE,FALSE,FALSE,LR,0.009021848079552574
bal_acc,RF (default),XGB (tuned),0.5776772020554244,0.6428511335204001,-0.06517393146497577,-0.09478405185729871,-0.03834974539088338,0,0,0,TRUE,TRUE,TRUE,RF (default),0.06517393146497577
bal_acc,RF (tuned),XGB (tuned),0.5803114771867628,0.6428511335204001,-0.0625396563336374,-0.09040288263031711,-0.037377390722008276,0,0,0,TRUE,TRUE,TRUE,RF (tuned),0.0625396563336374
bal_acc,Transformer,XGB (tuned),0.5902472164473375,0.6428511335204001,-0.05260391707306271,-0.07319382739673494,-0.03257424733496314,0,0,0,TRUE,TRUE,TRUE,Transformer,0.05260391707306271
bal_acc,XGB (default),XGB (tuned),0.6153074147476287,0.6428511335204001,-0.02754371877277146,-0.03986476115514482,-0.016147391077922492,0,0,0,TRUE,TRUE,TRUE,XGB (default),0.02754371877277146
auc,Attention (default),XGB (tuned),0.6424743201873028,0.7118883969215505,-0.06941407673424782,-0.09626013786524219,-0.041461485160301,0,0,0,TRUE,TRUE,TRUE,Attention (default),0.06941407673424782
auc,DT,XGB (tuned),0.6493520645433802,0.7118883969215505,-0.06253633237817027,-0.08922019003548176,-0.033584169361770486,0,0,0,TRUE,TRUE,TRUE,DT,0.06253633237817027
auc,LGB (default),XGB (tuned),0.6911813094401609,0.7118883969215505,-0.02070708748138968,-0.03093091397643602,-0.010534196962878448,0,0,0,TRUE,TRUE,TRUE,LGB (default),0.02070708748138968
auc,LGB (tuned),XGB (tuned),0.6935426659609999,0.7118883969215505,-0.018345730960550637,-0.027065194968082334,-0.009591197004345953,0,0,0,TRUE,TRUE,TRUE,LGB (tuned),0.018345730960550637
auc,LR,XGB (tuned),0.697409695539364,0.7118883969215505,-0.01447870138218652,-0.037040209272149835,0.010854416231591448,0.244,0.2987755102040816,1,FALSE,FALSE,FALSE,LR,0.01447870138218652
auc,RF (default),XGB (tuned),0.6997190741347145,0.7118883969215505,-0.012169322786836068,-0.023667473570039416,-0.002475840849325238,0.01,0.014173228346456693,0.55,TRUE,TRUE,FALSE,RF (default),0.012169322786836068
auc,RF (tuned),XGB (tuned),0.6920622056870497,0.7118883969215505,-0.01982619123450081,-0.031935839427019594,-0.008516029211433811,0,0,0,TRUE,TRUE,TRUE,RF (tuned),0.01982619123450081
auc,Transformer,XGB (tuned),0.6455326519812696,0.7118883969215505,-0.06635574494028088,-0.08813209721762945,-0.04403874266523847,0,0,0,TRUE,TRUE,TRUE,Transformer,0.06635574494028088
auc,XGB (default),XGB (tuned),0.6932224749145043,0.7118883969215505,-0.01866592200704627,-0.02904191508050462,-0.008657522922533885,0,0,0,TRUE,TRUE,TRUE,XGB (default),0.01866592200704627
