model,subject,theta,sens,spec,bal_acc,auc
"Attention default (theta=0.50, no selection)",5,,0.6374045801526718,0.7406749555950266,0.6890397678738491,0.7481712608300679
"Attention default (theta=0.50, no selection)",6,,0.490530303030303,0.7178378378378378,0.6041840704340704,0.6064967239967239
"Attention default (theta=0.50, no selection)",7,,0.5186335403726708,0.7121771217712177,0.6154053310719443,0.6850719671792992
"Attention default (theta=0.50, no selection)",8,,0.3547297297297297,0.693935119887165,0.5243324248084473,0.5201368505317729
"Attention default (theta=0.50, no selection)",9,,0.4064327485380117,0.6629116117850953,0.5346721801615535,0.554982922354992
"Attention default (theta=0.50, no selection)",10,,0.3517241379310344,0.7393561786085151,0.5455401582697748,0.5815471288239576
"Attention default (theta=0.50, no selection)",11,,0.3980582524271844,0.8135593220338984,0.6058087872305414,0.6249351274034506
"Attention default (theta=0.50, no selection)",12,,0.4046920821114369,0.7825020441537204,0.5935970631325787,0.5863831787129864
"Attention default (theta=0.50, no selection)",13,,0.625,0.6418181818181818,0.6334090909090909,0.6561818181818182
"Attention default (theta=0.50, no selection)",14,,0.4659090909090909,0.8774016468435498,0.6716553688763204,0.7266385261581968
"Attention default (theta=0.50, no selection)",15,,0.583941605839416,0.6085672082717873,0.5962544070556017,0.6510690142211777
"Attention default (theta=0.50, no selection)",16,,0.4166666666666667,0.6655092592592593,0.541087962962963,0.5796006944444445
"Attention default (theta=0.50, no selection)",17,,0.6296296296296297,0.7006420545746388,0.6651358421021343,0.7117650555852802
"Attention default (theta=0.50, no selection)",18,,0.6076555023923444,0.5958781362007168,0.6017668192965306,0.6598283342765516
"Attention default (theta=0.50, no selection)",19,,0.7289719626168224,0.666025641025641,0.6974988018212317,0.7387311286843996
"Attention default (theta=0.50, no selection)",20,,0.5337078651685393,0.6671061305207646,0.600406997844652,0.6398717160569724
