model,feature_set,subject,fold,sens,spec,bal_acc,auc,hp_trees,hp_min_n,hp_tree_depth,hp_learn_rate,hp_mtry
xgb,full,18,17,0.7368421052631579,0.4874551971326165,0.6121486511978872,0.6507134159935527,644,6,4,0.012986545220613996,NA
xgb,full,19,18,0.8271028037383178,0.6224358974358974,0.7247693505871076,0.7802180685358241,644,6,4,0.012986545220613996,NA
xgb,full,20,19,0.5730337078651685,0.7244561634805537,0.6487449356728612,0.7217601268026038,644,6,4,0.012986545220613996,NA
xgb,sensor_only,01,1,0.554601226993865,0.6497584541062802,0.6021798405500727,0.6019412584096508,644,6,4,0.012986545220613996,NA
xgb,sensor_only,03,2,0.7179176755447942,0.625,0.6714588377723971,0.7407748184019367,644,6,4,0.012986545220613996,NA
xgb,sensor_only,04,3,0.36964285714285716,0.8687430478309233,0.6191929524868902,0.6915819164150648,644,6,4,0.012986545220613996,NA
xgb,sensor_only,05,4,0.7032442748091603,0.7690941385435168,0.7361692066763386,0.8241749488156428,644,6,4,0.012986545220613996,NA
xgb,sensor_only,06,5,0.5416666666666666,0.5578378378378378,0.5497522522522522,0.570149467649468,644,6,4,0.012986545220613996,NA
xgb,sensor_only,07,6,0.5900621118012422,0.7490774907749077,0.669569801288075,0.7492178726135074,644,6,4,0.012986545220613996,NA
xgb,sensor_only,08,7,0.46283783783783783,0.7306064880112835,0.5967221629245607,0.6484532840315624,644,6,4,0.012986545220613996,NA
xgb,sensor_only,09,8,0.29239766081871343,0.6733102253032929,0.48285394306100315,0.4950211316853647,644,6,4,0.012986545220613996,NA
xgb,sensor_only,10,9,0.4413793103448276,0.6375908618899273,0.5394850861173774,0.5650445805134816,644,6,4,0.012986545220613996,NA
xgb,sensor_only,11,10,0.49514563106796117,0.847457627118644,0.6713016290933026,0.7444462728319897,644,6,4,0.012986545220613996,NA
xgb,sensor_only,12,11,0.5102639296187683,0.7628781684382666,0.6365710490285175,0.7198106670055582,644,6,4,0.012986545220613996,NA
xgb,sensor_only,13,12,0.7392857142857143,0.566060606060606,0.6526731601731601,0.6993419913419945,644,6,4,0.012986545220613996,NA
xgb,sensor_only,14,13,0.5909090909090909,0.8444647758462946,0.7176869333776927,0.8351908841387367,644,6,4,0.012986545220613996,NA
xgb,sensor_only,15,14,0.9635036496350365,0.4431314623338257,0.7033175559844311,0.8507261533817101,644,6,4,0.012986545220613996,NA
xgb,sensor_only,16,15,0.5666666666666667,0.6666666666666666,0.6166666666666667,0.6511477623456801,644,6,4,0.012986545220613996,NA
xgb,sensor_only,17,16,0.6444444444444445,0.7680577849117175,0.706251114678081,0.8012543844004504,644,6,4,0.012986545220613996,NA
xgb,sensor_only,18,17,0.6172248803827751,0.5313620071684588,0.574293443775617,0.6002898252473797,644,6,4,0.012986545220613996,NA
xgb,sensor_only,19,18,0.8130841121495327,0.6801282051282052,0.7466061586388689,0.7963455547567675,644,6,4,0.012986545220613996,NA
xgb,sensor_only,20,19,0.6797752808988764,0.5998681608437706,0.6398217208713235,0.6981438824409526,644,6,4,0.012986545220613996,NA
rf,full,01,1,0.36441717791411044,0.8019323671497585,0.5831747725319345,0.6251948667792896,NA,6,NA,NA,25
rf,full,03,2,0.400726392251816,0.90125,0.650988196125908,0.7290617433414038,NA,14,NA,NA,30
rf,full,04,3,0.09107142857142857,0.9888765294771968,0.5399739790243127,0.7051644684570153,NA,6,NA,NA,25
rf,full,05,4,0.3387404580152672,0.9431616341030196,0.6409510460591434,0.8176947039442467,NA,6,NA,NA,25
rf,full,06,5,0.2556818181818182,0.8789189189189189,0.5673003685503686,0.594852579852579,NA,10,NA,NA,27
rf,full,07,6,0.17391304347826086,0.9501845018450185,0.5620487726616397,0.778806926268021,NA,6,NA,NA,25
rf,full,08,7,0.010135135135135136,0.9929478138222849,0.50154147447871,0.5944373499027934,NA,14,NA,NA,30
rf,full,09,8,0.07309941520467836,0.9168110918544194,0.4949552535295489,0.5005548967739983,NA,6,NA,NA,25
rf,full,10,9,0.14022988505747128,0.9179646936656283,0.5290972893615498,0.539869421467875,NA,6,NA,NA,25
rf,full,11,10,0.04854368932038835,0.9947848761408083,0.5216642827305984,0.6266819407349266,NA,10,NA,NA,27
rf,full,12,11,0.12609970674486803,0.9746524938675388,0.5503761003062034,0.7010164419496303,NA,10,NA,NA,27
rf,full,13,12,0.325,0.9175757575757576,0.6212878787878788,0.7046645021644986,NA,10,NA,NA,27
rf,full,14,13,0.29545454545454547,0.9826166514181153,0.6390355984363304,0.817381269233966,NA,14,NA,NA,30
rf,full,15,14,0.583941605839416,0.7872968980797637,0.6856192519595898,0.7828332380942095,NA,14,NA,NA,30
rf,full,16,15,0.175,0.9317129629629629,0.5533564814814814,0.7193287037037028,NA,10,NA,NA,27
rf,full,17,16,0.1111111111111111,0.9983948635634029,0.554752987337257,0.8025028238511397,NA,14,NA,NA,30
rf,full,18,17,0.48325358851674644,0.7293906810035843,0.6063221347601654,0.6717943441203199,NA,6,NA,NA,25
rf,full,19,18,0.4439252336448598,0.8647435897435898,0.6543344116942248,0.7528187155523616,NA,10,NA,NA,27
rf,full,20,19,0.19101123595505617,0.9472643375082399,0.569137786731648,0.6845229718619676,NA,10,NA,NA,22
rf,sensor_only,01,1,0.3079754601226994,0.8381642512077294,0.5730698556652144,0.6021694674135317,NA,10,NA,NA,27
rf,sensor_only,03,2,0.2651331719128329,0.92625,0.5956915859564165,0.7071557203389818,NA,6,NA,NA,25
rf,sensor_only,04,3,0.14107142857142857,0.9810901001112347,0.5610807643413316,0.6981676068647709,NA,6,NA,NA,25
rf,sensor_only,05,4,0.23473282442748092,0.9769094138543517,0.6058211191409163,0.8082400037964556,NA,14,NA,NA,30
rf,sensor_only,06,5,0.22537878787878787,0.8897297297297297,0.5575542588042588,0.5725819000819004,NA,6,NA,NA,25
rf,sensor_only,07,6,0.13354037267080746,0.959409594095941,0.5464749833833742,0.7439879328917507,NA,6,NA,NA,25
rf,sensor_only,08,7,0.05405405405405406,0.9774330042313117,0.5157435291426828,0.5975631837761602,NA,10,NA,NA,27
rf,sensor_only,09,8,0.038011695906432746,0.9436741767764298,0.4908429363414313,0.482985699372636,NA,10,NA,NA,22
rf,sensor_only,10,9,0.17701149425287357,0.8826583592938733,0.5298349267733734,0.5396617371480428,NA,10,NA,NA,27
rf,sensor_only,11,10,0.08737864077669903,0.9869621903520208,0.53717041556436,0.6689092543132359,NA,6,NA,NA,25
rf,sensor_only,12,11,0.04398826979472141,0.9885527391659853,0.5162705044803534,0.6770309056859833,NA,14,NA,NA,30
rf,sensor_only,13,12,0.4107142857142857,0.8793939393939394,0.6450541125541125,0.7120313852813883,NA,6,NA,NA,25
rf,sensor_only,14,13,0.20454545454545456,0.989935956084172,0.5972407053148132,0.81733448390585,NA,6,NA,NA,25
