metric,model_A,model_B,mean_A,mean_B,delta,ci_low,ci_high,p_raw,p_BH,p_holm,sig_raw,sig_BH,sig_holm
bal_acc,LGB (tuned),XGB (default),0.5924022125008912,0.6153074147476287,-0.022905202246737512,-0.03563727025201665,-0.009884617793573594,0,0,0,TRUE,TRUE,TRUE
bal_acc,LGB (tuned),XGB (tuned),0.5924022125008912,0.6428511335204001,-0.05044892101950897,-0.07196243646624091,-0.02976981706651309,0,0,0,TRUE,TRUE,TRUE
bal_acc,LR,RF (default),0.6338292854408476,0.5776772020554244,0.0561520833854232,0.028584209793938234,0.0832738925978396,0,0,0,TRUE,TRUE,TRUE
bal_acc,LR,RF (tuned),0.6338292854408476,0.5803114771867628,0.053517808254084816,0.02768246199314018,0.07884452054180874,0,0,0,TRUE,TRUE,TRUE
bal_acc,LR,Transformer,0.6338292854408476,0.5902472164473375,0.04358206899351014,0.024992919485041072,0.061387525560227,0,0,0,TRUE,TRUE,TRUE
bal_acc,LR,XGB (default),0.6338292854408476,0.6153074147476287,0.01852187069321888,0.002263677475866657,0.035932140159089763,0.034,0.04601503759398496,1,TRUE,TRUE,FALSE
bal_acc,LR,XGB (tuned),0.6338292854408476,0.6428511335204001,-0.009021848079552574,-0.02953099446375688,0.011252032577957165,0.372,0.4348051948051948,1,FALSE,FALSE,FALSE
bal_acc,RF (default),RF (tuned),0.5776772020554244,0.5803114771867628,-0.0026342751313383787,-0.00728995144232324,0.0025450717192540616,0.33,0.3905882352941177,1,FALSE,FALSE,FALSE
bal_acc,RF (default),Transformer,0.5776772020554244,0.5902472164473375,-0.01257001439191306,-0.03748010589956165,0.013417840352105028,0.332,0.3905882352941177,1,FALSE,FALSE,FALSE
bal_acc,RF (default),XGB (default),0.5776772020554244,0.6153074147476287,-0.03763021269220431,-0.05794410801461555,-0.01773562075395172,0,0,0,TRUE,TRUE,TRUE
bal_acc,RF (default),XGB (tuned),0.5776772020554244,0.6428511335204001,-0.06517393146497577,-0.09478405185729871,-0.03834974539088338,0,0,0,TRUE,TRUE,TRUE
bal_acc,RF (tuned),Transformer,0.5803114771867628,0.5902472164473375,-0.009935739260574682,-0.03354461421317755,0.01401038219713252,0.408,0.47380645161290325,1,FALSE,FALSE,FALSE
bal_acc,RF (tuned),XGB (default),0.5803114771867628,0.6153074147476287,-0.034995937560865935,-0.05363807311211006,-0.01725669459400694,0,0,0,TRUE,TRUE,TRUE
bal_acc,RF (tuned),XGB (tuned),0.5803114771867628,0.6428511335204001,-0.0625396563336374,-0.09040288263031711,-0.037377390722008276,0,0,0,TRUE,TRUE,TRUE
