metric,model_A,model_B,mean_A,mean_B,delta,ci_low,ci_high,p_A_gt_B,p_two_sided
sens,XGB (default),Attention (tuned),0.416807888570512,0.5774610871198732,-0.16065319854936116,-0.2041300766189036,-0.11108349643795,0,0
sens,XGB (default),DT,0.416807888570512,0.5720868242450072,-0.1552789356744952,-0.21973458075950458,-0.08438214454680275,0,0
sens,XGB (default),LGB (default),0.416807888570512,0.295264934794256,0.12154295377625604,0.10125638485963741,0.14276890640392428,1,0
sens,XGB (default),LGB (tuned),0.416807888570512,0.28132076269192074,0.13548712587859124,0.11084716690716617,0.15934431224336357,1,0
sens,XGB (default),LR,0.416807888570512,0.625122582394644,-0.20831469382413206,-0.2560895454794041,-0.16322416528812567,0,0
sens,XGB (default),RF (default),0.416807888570512,0.22392764833193204,0.19288024023857997,0.16136176139803607,0.22894789444199826,1,0
sens,XGB (default),RF (tuned),0.416807888570512,0.23994917432064294,0.17685871424986904,0.07315516213966282,0.27454504320220524,0.999,0.002
sens,XGB (default),Transformer,0.416807888570512,0.6905720506484329,-0.2737641620779208,-0.32101118268403706,-0.22757625841128645,0,0
sens,XGB (default),XGB (tuned),0.416807888570512,0.593085812791088,-0.17627792422057595,-0.2731675760222658,-0.0712742902226617,0.001,0.002
sens,XGB (tuned),Attention (default),0.593085812791088,0.5210397038210448,0.07204610897004309,-0.023298208525806788,0.16699944113642895,0.924,0.152
sens,XGB (tuned),Attention (tuned),0.593085812791088,0.5774610871198732,0.015624725671214779,-0.08166707623373885,0.13677543763731909,0.618,0.764
sens,XGB (tuned),DT,0.593085812791088,0.5720868242450072,0.020998988546080764,-0.08408713746392447,0.11406259275052331,0.684,0.632
sens,XGB (tuned),LGB (default),0.593085812791088,0.295264934794256,0.297820877996832,0.1965905452643506,0.40446412211946003,1,0
sens,XGB (tuned),LGB (tuned),0.593085812791088,0.28132076269192074,0.31176505009916716,0.21613087435545716,0.4199491473086059,1,0
sens,XGB (tuned),LR,0.593085812791088,0.625122582394644,-0.032036769603556135,-0.1353657202685248,0.06111964830066365,0.245,0.49
sens,XGB (tuned),RF (default),0.593085812791088,0.22392764833193204,0.3691581644591559,0.27182581963162816,0.4741011747901463,1,0
sens,XGB (tuned),RF (tuned),0.593085812791088,0.23994917432064294,0.353136638470445,0.3160007564863017,0.3997778597650343,1,0
sens,XGB (tuned),Transformer,0.593085812791088,0.6905720506484329,-0.09748623785734488,-0.17955923285065795,-0.008824946775109779,0.016,0.032
sens,XGB (tuned),XGB (default),0.593085812791088,0.416807888570512,0.17627792422057595,0.08366289798884155,0.27310191605590717,0.999,0.002
spec,Attention (default),Attention (tuned),0.697892351125697,0.6617741694906961,0.036118181635000884,0.0044744866879057555,0.06865682677208743,0.988,0.024
spec,Attention (default),DT,0.697892351125697,0.6594924504466674,0.03839990067902968,-0.016375325841821387,0.08738328664328396,0.926,0.148
spec,Attention (default),LGB (default),0.697892351125697,0.8841180632237827,-0.18622571209808575,-0.21474650931643438,-0.15904117735738854,0,0
spec,Attention (default),LGB (tuned),0.697892351125697,0.8925126293097632,-0.19462027818406613,-0.22294319317150557,-0.16270985039084707,0,0
spec,Attention (default),LR,0.697892351125697,0.6425359884870512,0.055356362638645865,0.010127283026552842,0.10414134456504252,0.993,0.014
spec,Attention (default),RF (default),0.697892351125697,0.9314267557789168,-0.23353440465321978,-0.2586091236663896,-0.21186476375308086,0,0
spec,Attention (default),RF (tuned),0.697892351125697,0.915371625993825,-0.21747927486812804,-0.26807458397625117,-0.16781226315997458,0,0
spec,Attention (default),Transformer,0.697892351125697,0.5039615937071629,0.19393075741853408,0.16361209729523365,0.2215047315220933,1,0
spec,Attention (default),XGB (default),0.697892351125697,0.8138069409247455,-0.11591458979904844,-0.14814986242471156,-0.08230571443191159,0,0
spec,Attention (default),XGB (tuned),0.697892351125697,0.691742058255574,0.006150292870122981,-0.06640135650682084,0.0803005623751706,0.554,0.892
spec,Attention (tuned),Attention (default),0.6617741694906961,0.697892351125697,-0.036118181635000884,-0.06865116735800163,-0.004114262953186158,0.011,0.022
spec,Attention (tuned),DT,0.6617741694906961,0.6594924504466674,0.002281719044028806,-0.05609314147344248,0.04943167157135413,0.542,0.916
spec,Attention (tuned),LGB (default),0.6617741694906961,0.8841180632237827,-0.22234389373308663,-0.2553441142351172,-0.19055339121771908,0,0
spec,Attention (tuned),LGB (tuned),0.6617741694906961,0.8925126293097632,-0.23073845981906702,-0.26666632890786984,-0.19786520085797418,0,0
spec,Attention (tuned),LR,0.6617741694906961,0.6425359884870512,0.019238181003644973,-0.03479155304323383,0.07497500667048354,0.75,0.5
