subject,group,n_shots,n_used,n_test,n_test_eating,sens_base,sens_fewshot,improvement
15,other,20,20,377,65,0.5230769230769231,0.5538461538461539,0.03076923076923077
15,other,50,50,377,65,0.5230769230769231,0.6307692307692307,0.10769230769230764
15,other,100,72,377,65,0.5230769230769231,0.6153846153846154,0.09230769230769231
16,difficult,5,5,520,32,0.46875,0.46875,0
16,difficult,10,10,520,32,0.46875,0.5,0.03125
16,difficult,20,20,520,32,0.46875,0.46875,0
16,difficult,50,50,520,32,0.46875,0.5,0.03125
16,difficult,100,88,520,32,0.46875,0.46875,0
17,other,5,5,630,60,0.55,0.6,0.04999999999999993
17,other,10,10,630,60,0.55,0.6666666666666666,0.11666666666666659
17,other,20,20,630,60,0.55,0.5833333333333334,0.033333333333333326
17,other,50,50,630,60,0.55,0.5333333333333333,-0.01666666666666672
17,other,100,75,630,60,0.55,0.55,0
18,other,5,5,432,140,0.40714285714285714,0.39285714285714285,-0.01428571428571429
18,other,10,10,432,140,0.40714285714285714,0.40714285714285714,0
18,other,20,20,432,140,0.40714285714285714,0.32142857142857145,-0.08571428571428569
18,other,50,50,432,140,0.40714285714285714,0.4142857142857143,0.007142857142857173
18,other,100,69,432,140,0.40714285714285714,0.38571428571428573,-0.021428571428571408
19,other,5,5,742,81,0.5308641975308642,0.5185185185185185,-0.012345679012345734
19,other,10,10,742,81,0.5308641975308642,0.49382716049382713,-0.03703703703703709
19,other,20,20,742,81,0.5308641975308642,0.5679012345679012,0.03703703703703698
19,other,50,50,742,81,0.5308641975308642,0.5308641975308642,0
19,other,100,100,742,81,0.5308641975308642,0.49382716049382713,-0.03703703703703709
20,other,5,5,788,70,0.5428571428571428,0.5571428571428572,0.014285714285714346
20,other,10,10,788,70,0.5428571428571428,0.4857142857142857,-0.057142857142857106
20,other,20,20,788,70,0.5428571428571428,0.5285714285714286,-0.014285714285714235
20,other,50,50,788,70,0.5428571428571428,0.5857142857142857,0.04285714285714293
20,other,100,100,788,70,0.5428571428571428,0.42857142857142855,-0.11428571428571427
