subject,model,sens,spec,bal_acc,auc
06,LGB (default),0.3068181818181818,0.7848648648648648,0.5458415233415234,0.5642076167076169
07,LGB (default),0.3167701863354037,0.9188191881918819,0.6177946872636428,0.7770707753661393
08,LGB (default),0.04391891891891892,0.9703808180535967,0.5071498684862578,0.6346348111157704
09,LGB (default),0.08187134502923976,0.9211438474870017,0.5015075962581208,0.54085965925791
10,LGB (default),0.19540229885057472,0.8785046728971962,0.5369534858738855,0.5863930962867474
11,LGB (default),0.06796116504854369,0.9752281616688396,0.5215946633586916,0.6462449842407069
12,LGB (default),0.19941348973607037,0.9329517579721995,0.566182623854135,0.682054368494378
13,LGB (default),0.30357142857142855,0.8842424242424243,0.5939069264069264,0.6720259740259766
14,LGB (default),0.375,0.9533394327538883,0.6641697163769442,0.8054666056724611
15,LGB (default),0.6861313868613139,0.7001477104874446,0.6931395486743792,0.7488166988323314
16,LGB (default),0.16666666666666666,0.9131944444444444,0.5399305555555556,0.6850501543209891
17,LGB (default),0.2,0.9727126805778491,0.5863563402889246,0.8056833719755078
18,LGB (default),0.507177033492823,0.7293906810035843,0.6182838572482037,0.6455943132513577
19,LGB (default),0.5514018691588785,0.8141025641025641,0.6827522166307213,0.7505960939372156
20,LGB (default),0.25842696629213485,0.9156229400131839,0.5870249531526593,0.7034396687726396
01,LGB (tuned),0.3766871165644172,0.7777777777777778,0.5772324471710975,0.6035239026703418
03,LGB (tuned),0.4225181598062954,0.86875,0.6456340799031477,0.7318840799031463
04,LGB (tuned),0.10535714285714286,0.9810901001112348,0.5432236214841888,0.7234268234546317
05,LGB (tuned),0.3702290076335878,0.9431616341030196,0.6566953208683037,0.8270985587026963
06,LGB (tuned),0.2859848484848485,0.8151351351351351,0.5505599918099918,0.5844389844389852
07,LGB (tuned),0.2857142857142857,0.933579335793358,0.6096468107538218,0.7748447204968921
08,LGB (tuned),0.0472972972972973,0.9774330042313116,0.5123651507643046,0.6161561773338917
09,LGB (tuned),0.08187134502923976,0.9038128249566724,0.4928420849929561,0.5012846240384319
10,LGB (tuned),0.15632183908045977,0.8951194184839044,0.5257206287821821,0.5771284658812853
11,LGB (tuned),0.07281553398058252,0.9882659713168188,0.5305407526487007,0.6470107973316801
12,LGB (tuned),0.20821114369501467,0.9403107113654948,0.5742609275302547,0.6965588680303946
13,LGB (tuned),0.30714285714285716,0.8921212121212121,0.5996320346320346,0.6947575757575744
14,LGB (tuned),0.3409090909090909,0.9542543458371456,0.6475817183731182,0.8446103302004562
15,LGB (tuned),0.7372262773722628,0.707533234859675,0.7223797561159688,0.7681915707986069
16,LGB (tuned),0.15,0.9282407407407408,0.5391203703703703,0.6975212191358026
17,LGB (tuned),0.16296296296296298,0.9871589085072232,0.5750609357350931,0.8043992628262279
18,LGB (tuned),0.5119617224880383,0.7231182795698925,0.6175400010289653,0.6440079916310815
19,LGB (tuned),0.514018691588785,0.816025641025641,0.665022166307213,0.7637161514497967
20,LGB (tuned),0.20786516853932585,0.924851680949242,0.5663584247442839,0.7175309044314293
01,LR,0.6891891891891891,0.5169082125603864,0.6030487008747878,0.6327137414093937
03,LR,0.8523002421307506,0.4375,0.6449001210653753,0.7168659200968523
04,LR,0.3767857142857143,0.8375973303670745,0.6071915223263944,0.6579810901001127
05,LR,0.7795801526717557,0.6252220248667851,0.7024010887692704,0.7825020677125
06,LR,0.4412878787878788,0.8097297297297297,0.6255088042588042,0.6905446355446341
07,LR,0.6086956521739131,0.761070110701107,0.6848828814375101,0.7557928995439022
08,LR,0.5033783783783784,0.7824858757062146,0.6429321270422965,0.704506413192854
09,LR,0.412280701754386,0.720103986135182,0.566192343944784,0.6068645038361359
10,LR,0.36091954022988504,0.6438213914849429,0.502370465857414,0.5370071973359111
11,LR,0.49029126213592233,0.779373368146214,0.6348323151410682,0.690543486526908
12,LR,0.7595307917888563,0.5421095666394112,0.6508201792141337,0.7208609184184853
13,LR,0.6357142857142857,0.6103030303030303,0.623008658008658,0.6592337662337696
14,LR,0.7954545454545454,0.6861848124428179,0.7408196789486816,0.7998731597770969
15,LR,0.9562043795620438,0.3412112259970458,0.6487078027795448,0.8237716848699186
